,Tweet Number,News Organization,Tweet,Compound Score,Positive Score,Negative Score,Neutral Score
67,67,@BBC,"RT @bbcasiannetwork: Just @NavaanSandhu's voice and the vaja 💙 

Navaan and @mannisandhu have recorded a very special #Diwali acoustic sess…",0.4576,0.136,0.0,0.864
68,68,@BBC,"RT @bbcasiannetwork: Happy #Diwali 🧡✨

👩🏽‍🎨 @zhkdesigns https://t.co/5hpWbxQJHc",0.5719,0.252,0.0,0.748
69,69,@BBC,They can act... but can they sing? Britain's biggest stars are recording a special album for @BBCCiN. #GotItCovered… https://t.co/zmcWgEJ36d,0.5499,0.173,0.0,0.827
70,70,@BBC,"Could we replace plastic straws with pasta? This entrepreneur thinks so... 🍝😲♻️ #DragonsDen
https://t.co/wKL7ZHLOgu",0.0,0.0,0.0,1.0
71,71,@BBC,"Nadir Nahdi has started an inclusive running club. 🏃🏾
https://t.co/H2GJNHbVJr",0.0,0.0,0.0,1.0
72,72,@BBC,"THIS. 🤣 #Motherland #MondayMotivation
https://t.co/Hyaahkb2I2",0.4939,0.286,0.0,0.714
73,73,@BBC,"In the third leg of his journey through #TheAmericas, @simon_reeve is travelling down the length of California.  🇺🇸… https://t.co/5zb1sUbBl3",0.0,0.0,0.0,1.0
74,74,@BBC,@BBCOne @BBCiPlayer 🙌🏻,0.0,0.0,0.0,1.0
75,75,@BBC,"RT @BBCOne: Welcome to Antarctica – a land of survivors enduring the most hostile conditions on earth. 

#SevenWorldsOnePlanet is starting…",0.0276,0.137,0.132,0.731
76,76,@BBC,"Very cheeky.
https://t.co/RMVQJ0Gl71",0.0,0.0,0.0,1.0
77,77,@BBC,"#KPop fans are some of the most dedicated in the world 🙌

#KPopIdols @JamesBallardie @BBCFour https://t.co/DP42USH4SZ",0.5095,0.171,0.0,0.829
78,78,@BBC,"🙌 Sir David Attenborough is back on our screens tonight, as #SevenWorldsOnePlanet begins in Antarctica.  🌏
6:15pm |… https://t.co/QwlPf523Y5",0.0,0.0,0.0,1.0
79,79,@BBC,"Would you consider donating your body to science? 
@BSMSMedSchool say there is a shortage of bodies for medical stu… https://t.co/vtLOlAkBzP",-0.25,0.0,0.1,0.9
80,80,@BBC,"This is amazing - nothing will stop João Vicente smiling and skating!  😁
https://t.co/DxD2yjl8G1",0.8996,0.48,0.0,0.52
81,81,@BBC,"Did you know this tiny beetle could help us harvest water from thin air? 💧 
Listen to the 30 Animals That Made Us S… https://t.co/W90IeEKIZ8",0.4019,0.101,0.0,0.899
82,82,@BBC,"The face of a Medieval man whose remains were found in Aberdeen has been reconstructed.
👉 https://t.co/5KzdcdtXpk https://t.co/dhLGO22VkS",0.0,0.0,0.0,1.0
83,83,@BBC,"In 1972, Tomorrow's World reported on a newfangled way to pay for your shopping - the credit card.  😮
https://t.co/4OGh57RasG",0.296,0.113,0.061,0.826
84,84,@BBC,"RT @bbcrugbyunion: 😞 

They gave it everything they had.

#WALvRSA reaction: https://t.co/Yr2pnGLBIs

#bbcrugby #RWC2019 https://t.co/ROJ10…",-0.4767,0.0,0.171,0.829
85,85,@BBC,"RT @BBCSportWales: 🗣 ""Wales gave it everything but luckily it was us tonight""

South Africa try-scorer Damian de Allende on today's brutal…",0.6652,0.168,0.0,0.832
86,86,@BBC,"Check out some of the amazing pictures taken during filming for Sir David Attenborough's new @BBCOne series,… https://t.co/fpIBVY2uRJ",0.5859,0.183,0.0,0.817
87,87,@BBC,"That satisfying moment when the guitar goes in tune... 🤤 
Join @BBC6Music for #SlowSunday for a day of equally calm… https://t.co/Fk9mAwYiWt",0.6369,0.215,0.0,0.785
88,88,@BBC,"Q. What's the key to @BTS_twt's global success?
A. #BTSARMY

#BTS #ARMY #KPopIdols @BBCFour https://t.co/P5mkBHRT5m",0.5719,0.209,0.0,0.791
89,89,@BBC,"On @bbc5live today...
#NEWvWOL and #LIVvTOT 🙌
From 2pm and 4.30pm.
 👉 https://t.co/8rPSb0Cisq https://t.co/dpdzM7iHqn",0.0,0.0,0.0,1.0
90,90,@BBC,"Wait - do the clocks go forward tonight... or back? ⏰🤔 #TheMashReport #ClocksChange
https://t.co/nhyY06JwPW",0.0,0.0,0.0,1.0
91,91,@BBC,"Don't mess with Big Mandy.
#ThisCountry | @BBCThree.
https://t.co/0bbv1o4gAJ",0.2755,0.232,0.0,0.768
92,92,@BBC,"⏰Remember the clocks go back TONIGHT! ⌚️
https://t.co/JuTSen7ohX",0.0,0.0,0.0,1.0
93,93,@BBC,"Sir David Attenborough has been awarded a Green Blue Peter badge, in recognition of his work inspiring young audien… https://t.co/0KqyCpSg15",0.6705,0.244,0.0,0.756
94,94,@BBC,"""Kids absolutely do not go into care because it's their fault.""
Jamie spent 21 years of his life in care and is now… https://t.co/31GvlfvyjP",-0.6435,0.0,0.193,0.807
95,95,@BBC,Yardley the dog has become an internet sensation after being spotted watching his team @Pollokfc from the stands. 🐶… https://t.co/EK17Kk4i1h,0.0,0.0,0.0,1.0
96,96,@BBC,"""I just disconnected myself from anyone and anything around me.""

@KonzVisual
https://t.co/ErvPgz9oEc",0.0,0.0,0.0,1.0
97,97,@BBC,".@BBCNewsbeat's latest documentary features the indie label @TransgressiveHQ, who signed bands such as @Foals and… https://t.co/Tun9MkohmD",0.0,0.0,0.0,1.0
98,98,@BBC,"RT @5liveSport: ENGLAND HAVE BEATEN THE ALL BLACKS! 🏴󠁧󠁢󠁥󠁮󠁧󠁿

They have made their first rugby World Cup final since 2007 🏉🙌

'It doesn't ge…",-0.5893,0.0,0.143,0.857
99,99,@BBC,"RT @bbcpress: We've got great presenters for this year's #ChildrenInNeed. Join @TessDaly, @AdeAdepitan, @grahnort, #MelGiedroyc, @MarvinHum…",0.743,0.31,0.0,0.69
100,0,@CBS,Due to #NFL overrun #CBS Sunday programs delayed ONLY in EAST/CENTRAL Time Zones. New start times: #60Minutes 7:37/… https://t.co/y4zsZHnriN,-0.2263,0.0,0.095,0.905
101,1,@CBS,"After setting their clocks back an hour for #DaylightSavingTime, the cast of the @YandR_CBS is feeling like the you… https://t.co/68MXzF8NVT",0.4588,0.182,0.0,0.818
102,2,@CBS,Get ready for Week 9 of the NFL on CBS. Check out the schedule to watch and stream your local games live today acro… https://t.co/NsBRYJNyHz,0.3612,0.098,0.0,0.902
103,3,@CBS,RT @survivorcbs: Our hearts go out to Rudy's family and friends. He will be greatly missed. 💔 https://t.co/yRMMFL9em6,-0.4159,0.124,0.235,0.641
104,4,@CBS,"You're watching #CarolsSecondAct Thursday nights at 9:30/8:30c on CBS, but what about @PatriciaHeaton's second act?… https://t.co/rJ09gq5sSz",0.0,0.0,0.0,1.0
105,5,@CBS,"Attention, Boston movie-making people: When he's not shooting #TheUnicorn on CBS, @robcorddry is available. Let his… https://t.co/hFGz7P1FjU",0.0,0.0,0.0,1.0
106,6,@CBS,Don't miss this SEC face-off between two top ten teams. Stream #8 Georgia vs. #6 Florida live today at 3:30PM ET on… https://t.co/aZ8IbYfMAs,0.3058,0.134,0.0,0.866
107,7,@CBS,"Wade is excellent at being a father, he's a loyal and dependable friend, and he can give a heart-to-heart talk like… https://t.co/ugybnEF62T",0.875,0.385,0.0,0.615
108,8,@CBS,Celebrate the legacy and century-and-a-half history of college football with Through the Lens of CBS Sports: Colleg… https://t.co/OJ4jkQHW2S,0.5719,0.179,0.0,0.821
109,9,@CBS,It all starts with a script. Take a peek behind the curtain at how @TheNeighborhood gets made with this look at the… https://t.co/p3lOI5rFMU,0.0,0.0,0.0,1.0
110,10,@CBS,"@powerforlife03 We ❤️ Auntie Olu, as well. #bobheartsabishola https://t.co/4crm1zMF8x",0.2732,0.189,0.0,0.811
111,11,@CBS,"RT @CBSAllAccess: Sci-fi, action, comedy, drama, &amp; @NFLonCBS - we have it all! Streaming this November on #CBSAllAccess. IT’S ON. https://t…",0.4199,0.128,0.0,0.872
112,12,@CBS,RT @Lesdoggg: I love this family!! She reminds me of my mom yo!! I love this show!! I truly hope one day we all can just be ours elves and…,0.9466,0.401,0.0,0.599
113,13,@CBS,Face the monsters of #Evil this #Halloween. Stream it on https://t.co/2XNQAg6gJ6. https://t.co/VDDumLp0ac,0.0,0.0,0.0,1.0
114,14,@CBS,RT @YandR_CBS: Need some costume inspiration for tonight? Check out these #Halloween looks from #YR! https://t.co/RVPRKf2uTR,0.5707,0.198,0.0,0.802
115,15,@CBS,"RT @CBSAllAccess: Old tales, new blood. 🥀 Your Halloween treat is the first look at your #TellMeAStory Season 2 key art. https://t.co/Ixkh6…",0.4019,0.114,0.0,0.886
116,16,@CBS,Get into the #Halloween spirit by revisiting @YoungSheldon's spooky Hobbit-inspired dream: https://t.co/Xd5beUx7pw https://t.co/BTlKjGmRbs,0.4019,0.252,0.0,0.748
117,17,@CBS,@TimiFrost https://t.co/ByXflHqU93,0.0,0.0,0.0,1.0
118,18,@CBS,Gather ‘round for a celebration of family. The 21st annual holiday adoption special A Home for the Holidays with… https://t.co/yeVyYpvxrz,0.7906,0.348,0.0,0.652
119,19,@CBS,"Whether it's a trick or a treat, Happy #Halloween from CBS! https://t.co/k0pgIMaZ9X",0.7574,0.449,0.081,0.47
